Date, Close/Last, Volume, Open, High, Low
12/18/2020, $276.4, 26693250, $275.775, $278, $271.14
12/17/2020, $274.48, 16377840, $277.07, $280.44, $273.61
12/16/2020, $275.67, 15885000, $274.76, $277.86, $272.51
12/15/2020, $275.55, 23979460, $274.83, $276.08, $267.47
12/14/2020, $274.19, 16376880, $273.372, $277.22, $271.56
12/11/2020, $273.55, 14391400, $274.53, $276.48, $270.25
12/10/2020, $277.12, 20065090, $275.535, $278.73, $271.86
12/09/2020, $277.92, 25189710, $283.66, $287.63, $271.75
12/08/2020, $283.4, 10747650, $286.01, $286.4272, $281.55
12/07/2020, $285.58, 13007670, $279.19, $288.49, $278.2
12/04/2020, $279.7, 10880300, $280.3, $283.46, $279.3
12/03/2020, $281.85, 12921690, $286.25, $286.65, $281.07
12/02/2020, $287.52, 17361620, $285.36, $291.78, $280.825
12/01/2020, $286.55, 20777910, $279.16, $289.3, $278.96
11/30/2020, $276.97, 16693340, $276.03, $277.7, $271.01
11/27/2020, $277.81, 7808426, $277.39, $279.13, $274.82
11/25/2020, $275.59, 12467010, $278.14, $280.18, $272.65
11/24/2020, $276.92, 16930420, $268.49, $277.8199, $267.87
11/23/2020, $268.43, 20990790, $270.89, $270.9471, $264.53
11/20/2020, $269.7, 18122410, $272.56, $273, $269.41
