Date, Close/Last, Volume, Open, High, Low
12/18/2020, $218.59, 63354920, $218.59, $219.69, $216.02
12/17/2020, $219.42, 32515780, $219.87, $220.89, $217.92
12/16/2020, $219.28, 35023250, $214.75, $220.11, $214.72
12/15/2020, $214.13, 27018110, $215.165, $215.42, $212.24
12/14/2020, $214.2, 28798380, $213.1, $216.21, $212.88
12/11/2020, $213.26, 30979440, $210.05, $213.32, $209.11
12/10/2020, $210.52, 26467020, $211.77, $213.08, $210.36
12/09/2020, $211.8, 32440600, $215.16, $215.225, $211.214
12/08/2020, $216.01, 23284090, $213.97, $216.95, $212.89
12/07/2020, $214.29, 24620000, $214.37, $215.54, $212.99
12/04/2020, $214.36, 24666040, $214.22, $215.38, $213.18
12/03/2020, $214.24, 25120920, $214.61, $216.3757, $213.65
12/02/2020, $215.37, 23724510, $214.88, $215.47, $212.8
12/01/2020, $216.21, 30931320, $214.51, $217.32, $213.35
11/30/2020, $214.07, 33064750, $214.1, $214.76, $210.835
11/27/2020, $215.23, 14512210, $214.85, $216.27, $214.04
11/25/2020, $213.87, 21012890, $215.11, $215.29, $212.46
11/24/2020, $213.86, 33979730, $209.59, $214.25, $208.86
11/23/2020, $210.11, 25683510, $210.95, $212.29, $208.16
11/20/2020, $210.39, 22843120, $212.2, $213.285, $210
